name,objra,objdec,Bars
manga-10001-12701,133.371090612,57.5984251446,0.0
manga-10001-12702,133.685669869,57.4802503218,0.5
manga-10001-12703,136.017159969,57.0923291779,0.5
manga-10001-12704,133.989966869,57.6779676669,0.0
manga-10001-12705,136.75137451,57.4514369241,0.0
manga-10001-1901,133.330028009,57.0411553708,0.0
manga-10001-1902,134.193923352,56.7867469988,1.0
manga-10001-3701,132.465646765,57.1437279024,0.5
manga-10001-3702,132.912768243,57.1074235568,0.0
manga-10001-3703,134.591498946,57.6849653262,0.25
manga-10001-3704,134.910466734,56.8788941639,0.0
manga-10001-6101,137.041133755,57.4236117812,0.0
manga-10001-6102,132.653991697,57.3596675436,1.0
manga-10001-6103,134.008123053,57.3909643699,1.0
manga-10001-6104,136.623724313,56.7963948252,0.25
manga-10001-9101,133.87809679,57.5645448676,1.0
manga-10001-9102,135.818210094,56.6253848319,0.0
manga-10213-12701,124.129949071,43.7284583177,0.0
manga-10213-12702,124.272776248,43.3509915523,0.25
manga-10213-12703,123.132893944,44.3009344657,0.0
manga-10213-12704,124.485516908,42.8806679257,0.0
manga-10213-12705,122.931168093,41.5549778649,0.75
manga-10213-1901,124.082783686,43.4476368387,0.0
manga-10213-1902,123.453117209,41.6494790245,0.0
manga-10213-3701,122.867048301,43.6383451379,0.0
manga-10213-3702,122.755283436,44.2220679155,0.0
manga-10213-3703,123.8433,44.06446,0.0
manga-10213-3704,123.434850902,43.7540199483,0.0
manga-10213-6101,121.717807261,43.3235006561,0.75
manga-10213-6102,122.675141761,42.2778481495,0.0
manga-10213-6103,121.096386831,43.5825885672,0.0
manga-10213-6104,122.574759642,42.4055177083,0.0
manga-10213-9101,122.363515778,43.9349178253,0.0
manga-10213-9102,124.265207921,42.3782637188,0.0
manga-10214-12701,121.177734666,35.4005287119,0.0
manga-10214-12702,122.056621702,34.5382142602,0.0
manga-10214-12703,121.367176743,35.9466955876,0.75
manga-10214-12704,122.535492782,35.275267785,0.0
manga-10214-12705,122.2768863,34.7247236733,0.0
manga-10214-1901,122.194114188,35.4369387111,0.0
manga-10214-1902,121.988292284,34.2273271723,0.0
manga-10214-3702,120.75370272,35.1591455551,0.0
manga-10214-3703,122.921386026,36.1157754382,0.0
manga-10214-3704,123.657888722,34.4998105102,0.0
manga-10214-6101,123.061819419,35.1571384443,0.5
manga-10214-6102,122.841078941,34.5816625567,0.0
manga-10214-6103,120.885107167,34.9655998133,0.5
manga-10214-6104,123.092211293,36.2836131709,0.0
manga-10214-9101,120.935390177,35.3428778906,0.0
manga-10214-9102,121.942383602,34.7771614059,0.5
manga-10215-12701,121.800741247,38.2563612267,0.0
manga-10215-12702,121.466201503,37.5140925477,0.0
manga-10215-12703,122.130636583,37.5865756841,0.5
manga-10215-12704,123.448616143,37.0503815874,0.0
manga-10215-12705,122.984477119,36.4242678945,0.0
manga-10215-1901,122.118199278,38.1518625278,0.0
manga-10215-1902,123.857378368,37.3405186037,0.0
manga-10215-3701,122.040031781,37.9213571348,0.0
manga-10215-3702,121.370110164,37.557853221,0.0
manga-10215-3703,122.303250785,38.0177069537,0.5
manga-10215-3704,122.11350534,36.8374284802,1.0
manga-10215-6101,123.253441576,36.5330040267,0.0
manga-10215-6102,122.734117936,36.828123263,0.0
manga-10215-6103,122.323241339,38.3369384918,0.0
manga-10215-6104,123.647988384,38.5503483448,0.0
manga-10215-9101,121.561209049,37.6405216725,0.0
manga-10215-9102,122.390684521,36.9852665635,0.0
manga-10216-12701,118.476258864,16.9533603239,0.5
manga-10216-12702,118.230122563,17.0168029767,0.0
manga-10216-12703,118.62259747,17.7010718242,0.5
manga-10216-12704,118.16230011,18.3216056824,0.0
manga-10216-12705,117.894285161,16.621269888,0.0
manga-10216-1901,117.038289628,18.5706939566,0.5
manga-10216-1902,116.767280449,18.1383425062,0.5
manga-10216-3701,117.186922861,17.966051805,0.0
manga-10216-3702,117.003225435,18.622145951,0.75
manga-10216-3703,117.094733328,18.5028826591,0.0
manga-10216-3704,117.23952599,17.5771207096,0.0
manga-10216-6101,117.700436207,16.3893864476,0.75
manga-10216-6102,116.730202777,18.482375517,1.0
manga-10216-6103,116.346578955,18.2366261774,0.5
manga-10216-6104,117.43276891,18.9185959989,0.0
manga-10216-9101,116.67274471,18.7348410457,0.0
manga-10216-9102,116.446792381,18.312577531,1.0
manga-10217-12701,118.002740625,15.7585152922,0.0
manga-10217-12702,118.300437995,15.2413143621,0.0
manga-10217-12703,119.85175,16.4189444444,0.0
manga-10217-12704,119.917160034,15.3868169785,0.0
manga-10217-12705,119.505587809,14.7026287414,1.0
manga-10217-1901,119.06828621,15.2400782037,1.0
manga-10217-1902,118.699364685,14.6654215753,0.5
manga-10217-3701,118.693207358,14.3594231641,0.0
manga-10217-3702,118.521918682,14.6200482639,0.0
manga-10217-3703,119.293209673,14.65876405,0.75
